barcode;name;description;unit;rate;costprice;lastprice;category;notax;discper
6281103920592;مسواك الريان;مسواك الريان;1;1.5;1;1;1;FALSE;0
005515826525;قفازات صوف;قفازات صوف;1;2;1.5;1.5;1;FALSE;0
6281123035009;شوكولاتة براوني صباحو 50 جرام;شوكولاتة براوني صباحو 50 جرام;1;2;1.5;1.5;1;FALSE;0
6281002500352;مناديل كلينيكس;مناديل كلينيكس;17;16;15.5;15.5;1;FALSE;0
684500705926;فول مدمس الخلطة السرية 450 جرام;فول مدمس الخلطة السرية 450 جرام;1;4.5;4;4;1;FALSE;0
005561625610;صدور دجاج 1 كيلو;صدور دجاج 1 كيلو;1;22;21.5;21.5;1;FALSE;0
17894904055569;دجاج برازيلي 1000 جرام;دجاج برازيلي 1000 جرام;10;135;134.5;134.5;1;FALSE;0
6281007058469;حليب مبخر المراعي 6*170 جرام;حليب مبخر المراعي 6*170 جرام;1;14;13.5;13.5;1;FALSE;0
6281103069857;فحم موفور 4 كيلو;فحم موفور 4 كيلو;1;25;24.5;24.5;1;FALSE;0
005581725465;فحم كرتون 10 كيلو;فحم كرتون 10 كيلو;1;45;44.5;44.5;1;FALSE;0
5050083450082;كورن فليكس 1000 جرام;كورن فليكس 1000 جرام;1;28;27.5;27.5;1;FALSE;0
6281007029674;عصير التفاح المراعي 300 مل;عصير التفاح المراعي 300 مل;1;2.25;2;2;1;FALSE;0
6281057008117;عصير تفاح نادك 300 مل;عصير تفاح نادك 300 مل;1;2.25;2;2;1;FALSE;0
617950143734;تونة العلالي 170 جرام;تونة العلالي 170 جرام;1;7;6.5;6.5;1;FALSE;0
6281100930259;بازيلاء مجمد شهية 400 جرام;بازيلاء مجمد شهية 400 جرام;1;4;3.5;3.5;1;FALSE;0
